institute_code,institute_name,university,status_type
03214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Maharashtra State,Approved Institute
03215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Maharashtra State,Approved Institute
03216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Maharashtra State,Approved Institute
03217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Maharashtra State,Approved Institute
03218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Maharashtra State,Approved Institute
03219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Maharashtra State,Approved Institute
03220,Yadavrao Tasgaonkar College of Engineering & Management,Maharashtra State,Approved Institute
03221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Maharashtra State,Approved Institute
03222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Maharashtra State,Approved Institute
03223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Maharashtra State,Approved Institute
03224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Maharashtra State,Approved Institute
03257,"Vidya Prasarak Mandal's College of Engineering, Thane",Maharashtra State,Approved Institute
03277,Pravin Rohidas Patil College of Engineering & Technology,Maharashtra State,Approved Institute
03351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Maharashtra State,Approved Institute
03353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Maharashtra State,Approved Institute
03423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Maharashtra State,Approved Institute
03436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Maharashtra State,Approved Institute
03438,"Aditya Institute of Management Studies & Research, Borivali",Maharashtra State,Approved Institute
03439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Maharashtra State,Approved Institute
03440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Maharashtra State,Approved Institute
03445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Maharashtra State,Approved Institute
03447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Maharashtra State,Approved Institute
03460,"Universal College of Engineering,Kaman Dist. Palghar",Maharashtra State,Approved Institute
03462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Maharashtra State,Approved Institute
03465,"Ideal Institute of Technology, Wada, Dist.Thane",Maharashtra State,Approved Institute
03467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Maharashtra State,Approved Institute
03470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Maharashtra State,Approved Institute
03471,"New Horizon Institute of Technology & Management, Thane",Maharashtra State,Approved Institute
03475,"A. P. Shah Institute of Technology, Thane",Maharashtra State,Approved Institute
03477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Maharashtra State,Approved Institute
03503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Maharashtra State,Approved Institute
03539,"St. Wilfred's College of Computer Sciences, Mira Road(E)",Maharashtra State,Approved Institute
03546,Devi Mahalaxmi College of Engineering and Technology,Maharashtra State,Approved Institute
03651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF COLLEGE OF ARTS AND M H SHROFF COLLEGE OF COMMERCE,Maharashtra State,Approved Institute
03723,Navjeevan Education Society's College of Engineering,Maharashtra State,Approved Institute
03724,Thakur Shree DPS College of Engineering & Management,Maharashtra State,Approved Institute
03725,"MAEER's Maharashtra Institute of Technology, Thane",Maharashtra State,Approved Institute
03726,Imperial College of Engineering,Maharashtra State,Approved Institute
04003,"Inter Institutional Computer Center and Dept. of Computer Science & Electronics, RTM Nagpur University",Maharashtra State,Approved Institute
04004,"Government College of Engineering, Chandrapur",Maharashtra State,Approved Institute
04005,"Laxminarayan Institute of Technology, Nagpur",Maharashtra State,Approved Institute
04025,"Government College of Engineering, Nagpur",Maharashtra State,Approved Institute
04104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Maharashtra State,Approved Institute
04115,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Maharashtra State,Approved Institute
04116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Maharashtra State,Approved Institute
04118,"Bapurao Deshmukh College of Engineering, Sevagram",Maharashtra State,Approved Institute
04123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Maharashtra State,Approved Institute
04124,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",Maharashtra State,Approved Institute
04128,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",Maharashtra State,Approved Institute
04133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Maharashtra State,Approved Institute
04134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Maharashtra State,Approved Institute
04135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Maharashtra State,Approved Institute
04136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Maharashtra State,Approved Institute
04137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Maharashtra State,Approved Institute
04138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Maharashtra State,Approved Institute
04139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Maharashtra State,Approved Institute
04141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Maharashtra State,Approved Institute
